design num,power
0,0.282
11407,0.201
11408,0.202
11409,0.187
11411,0.161
11606,0.195
11608,0.205
11609,0.193
11611,0.193
11612,0.169
11807,0.217
11809,0.208
11810,0.189
11812,0.195
11814,0.192
12006,0.214
12008,0.243
12010,0.203
12012,0.227
12014,0.208
12016,0.201
12206,0.242
12208,0.285
12211,0.247
12213,0.196
12215,0.209
12217,0.165
12407,0.218
12409,0.259
12412,0.248
12414,0.24
12416,0.237
12419,0.195
12607,0.204
12610,0.284
12613,0.328
12615,0.304
12618,0.16
12620,0.16
12808,0.165
12811,0.197
12814,0.311
12816,0.27
12819,0.162
12822,0.165
13006,0.207
13009,0.17
13012,0.224
13015,0.307
13018,0.235
13021,0.213
13024,0.155
13206,0.192
13209,0.241
13212,0.199
13216,0.386
13219,0.241
13222,0.208
13225,0.246
13406,0.166
13410,0.246
13413,0.252
13417,0.244
13420,0.244
13423,0.231
13427,0.225
13607,0.261
13610,0.248
13614,0.245
13618,0.232
13621,0.185
13628,0
13625,0.209
21407,0.192
21408,0.197
21409,0.18
21411,0.188
21606,0.206
21608,0.201
21609,0.2
21611,0.184
21612,0.189
21807,0.214
21809,0.204
21810,0.198
21812,0.233
21814,0.189
22006,0.221
22008,0.211
22010,0.203
22012,0.199
22014,0.201
22016,0.256
22206,0.214
22208,0.254
22211,0.211
22213,0.227
22215,0.207
22217,0.203
22407,0.177
22409,0.221
22412,0.224
22414,0.22
22416,0.253
22419,0.201
22607,0.181
22610,0.172
22613,0.233
22615,0.226
22618,0.215
22808,0.242
22811,0.235
22814,0.176
22819,0.226
22822,0.218
23006,0.253
23009,0.247
23012,0.249
23015,0.248
23018,0.282
23021,0.214
23024,0.218
23206,0.253
23209,0.256
23212,0.259
23216,0.25
23219,0.183
23222,0.169
23225,0.238
23406,0.272
23410,0.26
23413,0.26
23417,0.315
23420,0.231
23423,0.224
23427,0.224
23610,0.272
23614,0.283
23618,0.291
23621,0.255
23625,0.272
23628,0.229
31402,0.182
31404,0.175
31405,0.228
31407,0.219
31408,0.151
31409,0.227
31411,0.231
31603,0.205
31604,0.217
31606,0.246
31608,0.209
31609,0.241
31611,0.223
31612,0.234
31803,0.273
31805,0.232
31807,0.263
31809,0.247
31810,0.217
31812,0.205
31814,0.222
32004,0.262
32006,0.284
32008,0.227
32010,0.252
32012,0.205
32014,0.262
32016,0.245
32204,0.21
32206,0.23
32208,0.245
32211,0.278
32213,0.24
32215,0.208
32217,0.209
32404,0.236
32407,0.235
32409,0.331
32412,0.319
32414,0.264
32416,0.294
32419,0.205
32605,0.19
32607,0.191
32610,0.335
32613,0.331
32615,0.321
32618,0.2
32620,0.19
32705,0.188
32708,0.188
32710,0.185
32713,0.328
32716,0.329
32718,0.228
32721,0.233
32805,0.234
32808,0.228
32811,0.233
32814,0.361
32816,0.337
32819,0.236
32822,0.228
33006,0.179
33009,0.178
33012,0.233
33015,0.371
33018,0.245
33021,0.234
33024,0.225
33206,0.182
33209,0.233
33212,0.229
33216,0.381
33219,0.234
33222,0.24
33225,0.238
33406,0.183
33410,0.236
33413,0.246
33417,0.244
33420,0.235
33423,0.239
33427,0.24
33607,0.221
33610,0.222
33614,0.22
33618,0.221
33621,0.225
33625,0.225
33628,0.227
40011,0.341
40012,0.338
40013,0.333
40014,0.332
40021,0.341
40022,0.336
40023,0.334
40024,0.333
40041,0.343
40042,0.336
40043,0.333
40044,0.344
40081,0.259
40082,0.274
40083,0.257
40084,0.259
40161,0.318
40162,0.34
40163,0.326
40164,0.324
50101,0.318
50102,0.319
50103,0.324
50201,0.246
50202,0.245
50203,0.246
50204,0.245
50205,0.245
50401,0.244
50402,0.243
50403,0.245
50404,0.245
50405,0.245
50406,0.244
50407,0.245
50408,0.244
50409,0.244
50410,0.244
