design num,length,integer,d-point percentage,accurcy,estim_clock,lat_worst,lat_avg,lat_best,FF,LUT,BRAM,DSP
0,0,0,0,99.639366,8.424,943,942,942,9877,15927,6,56
11407,14,7,50,35.961395,7.3,990,990,990,9555,21715,10,16
11408,14,8,57,27.378662,7.3,990,990,990,9490,21410,10,16
11409,14,9,64,62.193165,7.3,974,974,974,8768,18524,10,12
11411,14,11,78,63.82925,7.3,974,974,974,8045,17256,10,12
11606,16,6,37,49.516579,7.3,994,994,994,10312,24049,10,17
11608,16,8,50,27.491226,7.3,993,993,993,10161,23170,10,16
11609,16,9,56,28.675354,7.3,993,993,993,10302,23047,10,16
11611,16,11,68,63.720387,7.3,976,976,976,9334,19488,10,12
11612,16,12,75,63.703255,7.3,976,976,976,9007,18791,10,12
11807,18,7,38,33.623947,7.3,999,999,999,11264,25822,10,18
11809,18,9,50,28.638557,7.3,996,996,996,10901,24705,10,16
11810,18,10,55,69.86113,7.3,996,996,996,11021,24538,10,16
11812,18,12,66,69.889648,7.3,996,996,996,11278,24198,10,16
11814,18,14,77,60.366215,7.3,979,979,979,9349,19603,10,12
12006,20,6,30,49.197685,7.3,1005,1005,1005,12428,28897,10,18
12008,20,8,40,26.8508,7.3,1001,1001,1001,12061,27411,10,17
12010,20,10,50,78.21994,7.3,998,998,998,11922,26415,10,17
12012,20,12,60,70.31192,7.3,997,997,997,11964,26114,10,16
12014,20,14,70,70.938431,7.3,997,997,997,11907,25268,10,16
12016,20,16,80,63.935402,7.3,980,980,980,9737,20400,10,12
12206,22,6,27,49.16729,7.3,1050,1050,1050,13449,32252,10,18
12208,22,8,36,26.923347,7.3,1046,1046,1046,13121,30105,10,18
12211,22,11,50,85.154884,7.3,1042,1042,1042,12870,28308,10,17
12213,22,13,59,71.351784,7.3,1039,1039,1039,12877,28085,10,16
12215,22,15,68,71.027069,7.3,1038,1038,1038,13033,27491,10,16
12217,22,17,77,63.84301,7.3,1021,1021,1021,7607,15636,10,12
12407,24,7,29,61.544121,7.3,1075,1075,1075,8563,18501,10,15
12409,24,9,37,28.930626,7.3,1081,1081,1081,14275,32034,10,18
12412,24,12,50,89.497711,7.3,1076,1076,1076,14089,30360,10,18
