design num,resolution,A,accurcy,estim_clock,lat_worst,lat_avg,lat_best,FF,LUT,BRAM,DSP
40011,0.125,0.0625,95.83036,8.352,6280,6279,6279,10083,15957,2,52
40012,0.125,0.125,95.867188,8.352,3240,3239,3239,10083,15957,2,52
40013,0.125,0.1875,95.923363,8.352,0,0,0,10083,15963,2,52
40014,0.125,0.25,96.020088,8.352,1720,1719,1719,10083,15963,2,52
40021,0.25,0.125,96.313988,8.352,3240,3239,3239,10081,15955,2,50
40022,0.25,0.25,96.358635,8.352,1720,1719,1719,10081,15955,2,50
40023,0.25,0.375,96.334824,8.352,1226,1225,1225,10081,15961,2,50
40024,0.25,0.5,96.258926,8.352,960,959,959,10081,15961,2,50
40041,0.5,0.25,94.333336,8.352,1720,1719,1719,10079,15953,2,50
40042,0.5,0.5,94.327377,8.352,960,959,959,10079,15953,2,50
40043,0.5,0.75,94.303574,8.352,713,712,712,10079,15959,2,50
40044,0.5,1,94.166664,8.352,580,579,579,10079,15947,2,50
40081,1,0.5,82.952377,8.495,943,942,942,7708,14552,2,32
40082,1,1,82.761909,8.495,563,562,562,7708,14546,2,32
40083,1,1.5,82.904762,8.495,449,448,448,7708,14558,2,32
40084,1,2,82.785713,8.495,373,372,372,7454,14238,2,32
40161,2,1,85.238091,8.352,580,579,579,10075,15937,2,50
40162,2,2,86.190475,8.352,390,389,389,10075,15949,2,50
40163,2,3,85.714287,8.352,333,332,332,10075,15955,2,50
40164,2,4,86.190475,8.352,295,294,294,10075,15955,2,50
50101,0.125,0.1,97.350075,8.495,3240,3239,3239,9389,14763,2,49
50102,0.125,0.2,96.998512,8.495,3240,3239,3239,9389,14763,2,49
50103,0.125,0.3,95.867188,8.495,3240,3239,3239,9389,14763,2,49
50201,0.25,0.1,95.959824,8.495,1720,1719,1719,9387,14761,2,47
50202,0.25,0.2,96.757439,8.495,1720,1719,1719,9387,14761,2,47
50203,0.25,0.3,96.358635,8.495,1720,1719,1719,9387,14761,2,47
50204,0.25,0.4,95.538689,8.495,1720,1719,1719,9387,14761,2,47
50205,0.25,0.5,94.290176,8.495,1720,1719,1719,9387,14761,2,47
50401,0.5,0.1,90.708336,8.495,960,959,959,9385,14759,2,47
50402,0.5,0.2,92.815475,8.495,960,959,959,9385,14759,2,47
50403,0.5,0.3,94.327377,8.495,960,959,959,9385,14759,2,47
50404,0.5,0.4,95.154762,8.495,960,959,959,9385,14759,2,47
50405,0.5,0.5,94.869049,8.495,960,959,959,9385,14759,2,47
50406,0.5,0.6,94.125,8.495,960,959,959,9385,14759,2,47
50407,0.5,0.7,92.970238,8.495,960,959,959,9385,14759,2,47
50408,0.5,0.8,91.952385,8.495,960,959,959,9385,14759,2,47
50409,0.5,0.9,90.916672,8.495,960,959,959,9385,14759,2,47
50410,0.5,1,90.196434,8.495,960,959,959,9385,14759,2,47
