type,argu1,argu2,acc,late,lut,ff,dsp,bram
1,0,0,99.64,943,15305,9489,56,6
2,14,1,0.00,0,0,0,0,0
2,14,2,0.00,0,0,0,0,0
2,14,3,0.00,0,0,0,0,0
2,14,4,0.00,0,0,0,0,0
2,14,5,35.96,990,21125,9215,16,10
2,14,6,27.38,990,20820,9151,16,10
2,14,7,62.19,974,17934,8460,12,10
2,14,8,63.83,974,16666,7737,12,10
2,16,1,0.00,0,0,0,0,0
2,16,2,0.00,0,0,0,0,0
2,16,3,0.00,0,0,0,0,0
2,16,4,49.52,994,23459,9972,17,10
2,16,5,27.49,993,22580,9821,16,10
2,16,6,28.68,993,22457,9962,16,10
2,16,7,63.72,976,18898,9026,12,10
2,16,8,63.70,976,18201,8699,12,10
2,18,1,0.00,0,0,0,0,0
2,18,2,0.00,0,0,0,0,0
2,18,3,0.00,0,0,0,0,0
2,18,4,33.62,999,25232,10924,18,10
2,18,5,28.64,996,24115,10561,16,10
2,18,6,69.86,996,23948,10683,16,10
2,18,7,69.89,996,23608,10938,16,10
2,18,8,60.37,979,19013,9041,12,10
2,20,1,0.00,0,0,0,0,0
2,20,2,0.00,0,0,0,0,0
2,20,3,49.20,1005,28307,12088,18,10
2,20,4,26.85,1001,26821,11721,17,10
2,20,5,78.22,998,25825,11582,17,10
2,20,6,70.31,997,25524,11622,16,10
2,20,7,70.94,997,24678,11567,16,10
2,20,8,63.94,980,19810,9429,12,10
2,22,1,0.00,0,0,0,0,0
2,22,2,0.00,0,0,0,0,0
2,22,3,49.17,1050,31662,13109,18,10
2,22,4,26.92,1046,29515,12781,18,10
2,22,5,85.15,1042,27718,12530,17,10
2,22,6,71.35,1039,27495,12537,16,10
2,22,7,71.03,1038,26901,12693,16,10
2,22,8,63.84,1021,15046,7299,12,10
2,24,1,0.00,0,0,0,0,0
2,24,2,0.00,0,0,0,0,0
2,24,3,61.54,1075,17911,8223,15,10
2,24,4,28.93,1081,31444,13935,18,10
2,24,5,89.50,1076,29770,13749,18,10
2,24,6,80.14,1069,29208,13699,17,10
2,24,7,71.26,1067,28763,13741,15,10
2,24,8,63.84,1049,15346,7543,12,10
2,26,1,0.00,0,0,0,0,0
2,26,2,0.00,0,0,0,0,0
2,26,3,61.55,1077,18982,8653,11,10
2,26,4,94.35,1084,34788,15527,15,10
2,26,5,90.42,1079,32065,14954,15,10
2,26,6,86.02,1077,31665,14874,15,10
2,26,7,66.45,1072,17646,8866,12,10
2,26,8,66.45,1071,17116,8512,12,10
2,28,1,0.00,0,0,0,0,0
2,28,2,0.00,0,0,0,0,0
2,28,3,64.09,1086,19812,9302,12,10
2,28,4,66.36,1085,19328,9398,13,10
2,28,5,93.08,1096,34763,16882,15,10
2,28,6,90.44,1091,33751,16535,15,10
2,28,7,66.45,1081,18493,9590,12,10
2,28,8,66.45,1079,17683,9120,12,10
2,30,1,0.00,0,0,0,0,0
2,30,2,59.52,1055,21165,9912,12,10
2,30,3,63.07,1053,20351,9733,12,10
2,30,4,66.29,1054,20048,9889,13,10
2,30,5,95.35,1065,36555,17869,16,10
2,30,6,66.51,1051,19258,10029,12,10
2,30,7,66.45,1048,18961,9939,12,10
2,30,8,66.45,1045,18134,9259,12,10
2,32,1,0.00,0,0,0,0,0
2,32,2,59.52,1098,21866,10442,12,10
2,32,3,63.07,1098,21141,10310,12,10
2,32,4,66.29,1098,20636,10371,13,10
2,32,5,96.85,1110,39774,19333,16,10
2,32,6,66.51,1095,19898,10654,12,10
2,32,7,66.50,1091,19542,10375,12,10
2,32,8,66.43,1089,18755,10142,12,10
2,34,1,0.00,0,0,0,0,0
2,34,2,59.52,1104,22874,10964,12,10
2,34,3,66.34,1104,21751,10775,12,10
2,34,4,66.49,1104,21412,10972,13,10
2,34,5,66.50,1101,20761,11005,13,10
2,34,6,66.51,1100,20470,10821,12,10
